На,ADP
торгах,NOUN
20,NUM
сентября,NOUN
был,AUX
зафиксирован,ADJ
самый,ADJ
низкий,ADJ
за,ADP
последние,ADJ
три,NUM
месяца,NOUN
курс,NOUN
немецкого,ADJ
биржевого,ADJ
индекса,NOUN
DAX,PROPN
.,PUNCT
Обвал,NOUN
на,ADP
финансовом,ADJ
рынке,NOUN
Германии,PROPN
многие,ADJ
эксперты,NOUN
связывают,VERB
с,ADP
сообщениями,NOUN
о,ADP
победе,NOUN
партии,NOUN
«,PUNCT
Единая,ADJ
Россия,PROPN
»,PUNCT
на,ADP
выборах,NOUN
в,ADP
Госдуму,PROPN
.,PUNCT
В,ADP
понедельник,NOUN
утром,NOUN
DAX,PROPN
потерял,VERB
почти,ADV
3,NUM
%,SYM
",",PUNCT
опустившись,VERB
до,ADP
15 000,NUM
пунктов,NOUN
.,PUNCT
Падение,NOUN
индекса,NOUN
по,ADP
времени,NOUN
совпало,VERB
с,ADP
сообщениями,NOUN
российского,ADJ
ЦИК,PROPN
о,ADP
результатах,NOUN
обработки,NOUN
70,NUM
%,SYM
протоколов,NOUN
.,PUNCT
Известный,ADJ
немецкий,ADJ
политолог,NOUN
и,CCONJ
экономист,NOUN
Александр,PROPN
Рар,PROPN
объяснил,VERB
обвал,NOUN
DAX,PROPN
хорошими,ADJ
показателями,NOUN
«,PUNCT
Единой,ADJ
России,PROPN
»,PUNCT
на,ADP
выборах,NOUN
в,ADP
Госдуму,PROPN
:,PUNCT
«,PUNCT
Конечно,ADV
",",PUNCT
многие,ADJ
в,ADP
Германии,PROPN
понимали,VERB
",",PUNCT
что,SCONJ
ЕР,PROPN
останется,VERB
главной,ADJ
силой,NOUN
в,ADP
парламенте,NOUN
.,PUNCT
Но,CCONJ
мало,ADJ
кто,PRON
ожидал,VERB
такого,ADJ
высокого,ADJ
уровня,NOUN
доверия,NOUN
избирателей,NOUN
к,ADP
партии,NOUN
власти,NOUN
.,PUNCT
Некоторые,ADJ
аналитики,NOUN
прогнозировали,VERB
",",PUNCT
что,SCONJ
ЕР,PROPN
придется,VERB
вести,VERB
переговоры,NOUN
о,ADP
создании,NOUN
коалиции,NOUN
с,ADP
другими,ADJ
фракциями,NOUN
»,PUNCT
.,PUNCT
Эксперт,NOUN
отметил,VERB
тот,ADJ
факт,NOUN
",",PUNCT
что,SCONJ
больше,ADJ
всего,ADV
потеряли,VERB
акций,NOUN
немецких,ADJ
автомобилестроителей,NOUN
Porsche,PROPN
и,CCONJ
Volkswagen,PROPN
",",PUNCT
опустившись,VERB
почти,ADV
на,ADP
6,NUM
%,SYM
.,PUNCT
«,PUNCT
В,ADP
своей,ADJ
предвыборной,ADJ
программе,NOUN
«,PUNCT
Единая,ADJ
Россия,PROPN
»,PUNCT
обещала,VERB
увеличить,VERB
финансирование,NOUN
образования,NOUN
и,CCONJ
науки,NOUN
.,PUNCT
Такая,ADJ
политика,NOUN
неизбежно,ADV
приведет,VERB
к,ADP
технологическому,ADJ
прорыву,NOUN
России,PROPN
",",PUNCT
что,SCONJ
",",PUNCT
в,ADP
свою,ADJ
очередь,NOUN
",",PUNCT
увеличит,VERB
объемы,NOUN
продаж,NOUN
их,PRON
автомобилей,NOUN
на,ADP
рынке,NOUN
ЕС,PROPN
.,PUNCT
Поэтому,SCONJ
крупные,ADJ
финансовые,ADJ
институты,NOUN
меняют,VERB
содержание,NOUN
своих,ADJ
инвестиционных,ADJ
портфелей,NOUN
",",PUNCT
избавляясь,VERB
от,ADP
акций,NOUN
немецких,ADJ
автомобильных,ADJ
концернов ,NOUN
»,PUNCT
.,PUNCT
Александр,PROPN
Рар,PROPN
добавил,VERB
",",PUNCT
что,SCONJ
показатели,NOUN
«,PUNCT
Единой,ADJ
России,PROPN
»,PUNCT
на,ADP
выборах,NOUN
свидетельствуют,VERB
о,ADP
том,PRON
",",PUNCT
что,SCONJ
большинство,NOUN
россиян,NOUN
поддерживает,VERB
политику,NOUN
правящей,ADJ
партии,NOUN
.,PUNCT
